sales,profit,shipping_cost,unit_price,quantity,discount,heavy_discount_regions,non_profitable_regions,more_qty,cluster
221.98,62.15440000000001,40.77,110.99,2,0.0,0,0,0,2
668.16,75.16799999999992,45.74,74.24,9,0.2,0,0,1,1
2043.7200000000007,756.0,321.36,145.98000000000005,14,0.0,0,0,1,1
2125.0,297.5,316.764,425.0,5,0.0,0,0,1,1
470.37600000000015,52.91729999999996,137.41,156.79200000000003,3,0.2,0,0,1,1
344.704,38.77919999999999,48.59,172.352,2,0.2,0,0,0,2
2295.0,459.0,305.2,573.75,4,0.1,0,0,1,1
1622.1825000000006,324.38249999999994,305.16,540.7275000000002,3,0.15,0,0,1,1
1063.44,361.41,304.95,151.92000000000004,7,0.0,0,0,1,1
840.6,319.35,296.68,168.12,5,0.0,0,0,1,1
471.92,29.49500000000002,16.71,235.96,2,0.2,0,0,0,2
2171.3,390.8,294.971,434.2600000000001,5,0.0,0,0,1,1
849.8000000000003,195.44,294.566,424.90000000000015,2,0.0,0,0,0,2
1274.7000000000005,293.16,290.52299999999997,424.90000000000015,3,0.0,0,0,1,1
840.15,260.4,286.67,168.03,5,0.0,0,0,1,1
1622.5649999999994,133.60499999999996,268.19,540.8549999999998,3,0.15,0,0,1,1
2375.2960000000007,-207.8440000000002,267.784,339.3280000000001,7,0.2,0,0,1,1
1696.4,67.84,264.88800000000003,424.1,4,0.0,0,0,1,1
1457.28,568.3199999999998,262.66,182.16,8,0.0,0,0,1,1
28.68,-7.17,3.1,9.56,3,0.2,0,0,1,1
910.35,391.35,259.57,182.07,5,0.0,0,0,1,1
1330.9920000000002,-103.60799999999999,259.12,110.916,12,0.1,0,0,1,1
728.5319999999999,-133.72799999999995,257.16,104.076,7,0.4,0,0,1,1
1237.44,74.16,255.92,154.68,8,0.0,0,0,1,1
965.16,463.25999999999993,253.09,137.88,7,0.0,0,0,1,1
766.8720000000002,114.97199999999998,250.36,383.436,2,0.4,0,0,0,2
2120.8,275.7,246.387,424.16,5,0.0,0,0,1,1
779.28,-0.11999999999997613,241.34,155.856,5,0.15,0,0,1,1
2021.88,323.4000000000001,239.62,144.42000000000004,14,0.0,0,0,1,1
1221.561,325.611,238.9,111.05100000000002,11,0.1,0,0,1,1
1120.77,55.88999999999999,235.28,124.53,9,0.0,0,0,1,1
856.9200000000002,222.76,234.28000000000003,428.46,2,0.0,0,0,0,2
2166.8976,391.4975999999999,232.49,541.7244000000002,4,0.17,0,0,1,1
1479.36,103.43999999999998,231.957,123.28,12,0.0,0,0,1,1
2616.96,26.160000000000004,230.47,436.16,6,0.0,0,0,1,1
820.0800000000003,98.28,229.085,91.12000000000002,9,0.0,0,0,1,1
827.28,397.07999999999987,224.64,137.88,6,0.0,0,0,1,1
1591.56,79.56,222.4,132.63,12,0.0,0,0,1,1
2124.5000000000005,488.6,221.92,424.90000000000015,5,0.0,0,0,1,1
607.3199999999998,115.32,217.39,151.82999999999996,4,0.0,0,0,1,1
1377.9,289.2000000000001,214.97,137.79,10,0.0,1,1,1,3
2582.1600000000008,516.36,214.883,430.36000000000007,6,0.0,0,0,1,1
773.94,224.4426,121.91,128.99,6,0.0,0,0,1,1
1257.456,-29.664000000000016,214.54,157.18200000000004,8,0.15,0,0,1,1
195.96000000000004,19.596000000000018,26.17,39.19200000000001,5,0.2,0,0,1,1
575.92,71.98999999999998,17.88,287.96,2,0.2,0,0,0,2
2146.6,429.3,211.307,429.32,5,0.0,0,0,1,1
881.1,184.95,208.56,176.22,5,0.0,0,0,1,1
1622.1825000000006,324.38249999999994,208.39,540.7275000000002,3,0.15,0,0,1,1
1001.88,230.40000000000003,208.13,166.98000000000005,6,0.0,0,0,1,1
2120.8,275.7,207.892,424.16,5,0.0,0,0,1,1
1531.2,45.9,207.81,153.12,10,0.0,0,0,1,1
1394.95,362.687,140.1,278.99,5,0.0,0,0,1,1
553.92,22.08,206.56,138.48,4,0.0,0,0,1,1
2120.7,63.6,206.327,424.14,5,0.0,0,0,1,1
1308.48,13.080000000000002,205.72099999999998,436.16,3,0.0,0,0,1,1
737.9100000000002,-8.370000000000005,204.65,122.985,6,0.1,0,0,1,1
1570.1760000000002,104.616,203.61,392.54400000000004,4,0.4,1,1,1,3
1587.0015,-76.55849999999998,203.08,529.0005,3,0.17,0,0,1,1
985.2,78.72,200.45,123.15,8,0.0,0,0,1,1
1134.81,453.87,197.68,126.09,9,0.0,0,0,1,1
1081.7099999999996,89.07,196.9,540.8549999999998,2,0.15,0,0,0,2
498.36,9.96,195.37099999999998,83.06,6,0.0,0,0,1,1
1431.3375,171.6975,194.21,477.1125,3,0.25,0,0,1,1
1584.3869999999995,381.717,193.62,528.1289999999998,3,0.17,0,0,1,1
771.2280000000001,-321.3719999999999,193.37,385.61400000000003,2,0.4,0,0,0,2
1022.56,327.14,183.66299999999998,92.96,11,0.0,0,0,1,1
1150.0380000000002,332.17799999999994,183.32,575.0190000000001,2,0.1,0,0,0,2
1621.9530000000002,534.2130000000001,183.14,540.6510000000002,3,0.15,0,0,1,1
1717.848,-133.632,181.15,572.616,3,0.1,0,0,1,1
1591.1100000000006,364.23,179.38,530.3700000000001,3,0.17,0,0,1,1
2.97,-0.6435000000000002,1.14,2.97,1,0.4,0,0,0,2
1215.36,413.04,178.88,151.92000000000004,8,0.0,0,0,1,1
521.1840000000002,-260.616,178.3,260.59200000000004,2,0.6,1,1,0,3
2300.0760000000005,408.8759999999999,177.32,575.0190000000001,4,0.1,0,0,1,1
149.95,41.986,11.99,29.99,5,0.0,0,0,1,1
1953.666,282.126,176.85,150.282,13,0.1,0,0,1,1
858.64,171.72,176.465,429.32,2,0.0,0,0,0,2
764.9280000000001,-306.01200000000006,176.178,254.97600000000003,3,0.4,0,0,1,1
2194.8360000000002,206.55600000000004,175.73,548.7090000000001,4,0.15,0,0,1,1
1954.44,-286.68000000000006,175.45,488.61,4,0.25,0,0,1,1
1272.6,496.25999999999993,175.199,424.2,3,0.0,0,0,1,1
956.88,315.72,173.24,79.74,12,0.0,0,0,1,1
1913.52,650.5799999999998,173.19,136.68,14,0.0,0,0,1,1
29.97,0.29969999999999963,1.79,9.99,3,0.0,0,0,1,1
586.0799999999998,87.84,172.82,73.25999999999998,8,0.0,0,0,1,1
1527.12,656.6400000000001,172.32,169.68,9,0.0,0,0,1,1
698.64,209.52,171.74,174.66,4,0.0,0,0,1,1
1272.6,496.25999999999993,170.41299999999998,424.2,3,0.0,0,0,1,1
2120.8,275.7,169.981,424.16,5,0.0,0,0,1,1
23.988,-15.992,1.78,11.993999999999998,2,0.4,0,0,0,2
1081.302,356.14200000000005,168.98,540.6510000000002,2,0.15,0,0,0,2
1622.3355,248.0355,168.62,540.7785,3,0.15,0,0,1,1
730.3199999999998,175.2,165.5,91.29,8,0.0,0,0,1,1
1587.0015,-76.55849999999998,164.0,529.0005,3,0.17,0,0,1,1
431.97600000000006,32.39820000000002,28.86,143.99200000000005,3,0.2,0,0,1,1
1274.7000000000005,293.16,163.701,424.90000000000015,3,0.0,0,0,1,1
1061.04,53.04,162.51,132.63,8,0.0,1,1,1,3
2386.125,381.675,161.92,477.225,5,0.25,0,0,1,1
825.12,54.86999999999999,161.63,165.024,5,0.1,0,0,1,1
578.2,0.0,161.089,115.64,5,0.0,0,0,1,1
95.84,34.742,2.74,23.96,4,0.2,0,0,1,1
776.4119999999999,301.812,159.13,110.916,7,0.1,0,0,1,1
1083.75,165.75,158.99,541.875,2,0.15,0,0,0,2
464.2785,38.21849999999999,158.88,154.7595,3,0.15,0,0,1,1
1721.25,19.079999999999984,158.0,573.75,3,0.1,0,0,1,1
251.96399999999997,-50.3928,28.56,41.99399999999999,6,0.4,0,0,1,1
2172.0768,628.0368000000002,155.13,543.0192,4,0.17,0,0,1,1
951.6,66.3,154.11,73.19999999999997,13,0.0,0,0,1,1
696.7500000000001,132.3,153.99,139.35000000000002,5,0.0,0,0,1,1
520.8,10.29,153.11,74.39999999999998,7,0.0,0,0,1,1
871.71,43.46999999999999,152.6,124.53,7,0.0,0,0,1,1
116.98,29.245000000000005,10.69,58.49,2,0.0,0,0,0,2
2124.5000000000005,488.6,151.918,424.90000000000015,5,0.0,0,0,1,1
719.07,273.23999999999995,150.41,65.37,11,0.0,0,0,1,1
1361.9304000000004,49.010399999999954,150.25,113.49420000000002,12,0.17,0,0,1,1
834.9000000000002,267.15,150.08,166.98000000000005,5,0.0,0,0,1,1
837.2376,211.73759999999996,149.15,139.5396,6,0.17,0,0,1,1
346.92,-152.76000000000005,148.9,86.73,4,0.5,0,0,1,1
524.28,146.76,148.45,131.07,4,0.0,0,0,1,1
331.84,23.2,147.844,82.96,4,0.0,0,0,1,1
504.36,201.72,147.23,126.09,4,0.0,0,0,1,1
530.52,26.52,145.11,132.63,4,0.0,0,0,1,1
1680.3,285.6,143.59,168.03,10,0.0,0,0,1,1
